competitor,ad_text,format,first_seen
Under Armour,"The Official Site - Join UA Rewards. Get The Gear Everyone's After. Shop Under Armour Training Gear Today. Experience Superior Comfort and Durability. Women's Apparel. Men's Apparel. 25% Off BTS Gear. 25% off UA back-to-school deals valid Jul 19 to Aug 21.",Search,2026-08-12
Gymshark,"Gymshark Official Store - Gym Clothes Store. Unlock your full potential with our game-changing workout clothes. Shop gym clothing for the gym, running and everything in-between. New Releases. Free Returns.",Search,2026-08-12
Gymshark,"Socks Are We Supposed To Be Wearing? The Great Gen Z Debate. Are ankle socks out of style? TikTok might be telling you they are a millennial giveaway, read on to find out whether it's time to swap them out for Crew socks. New Releases.",Search,2026-08-12
Gymshark,"Gymshark - We Do Gym - The Gym Is Everything We Do. Your New PBs Will Look Good In A Fresh New Gymshark Fit. Get Yours Now. However You Gym, We've Got The Clothes, Accessories and Community.",Search,2026-08-12
Arc'teryx,"Arc'teryx Outerwear - Products made for performance - Outlast the sun. Protect your skin with Arc'teryx men's sun protective clothing collection. Stay shielded from the sun and cool from the heat with breathable, protective gear. High-Performance Apparel. Free Shipping and Returns. Men's Collection. Women's Collection. Arc'teryx New Arrivals.",Search,2026-08-12
Arc'teryx,"It's the season of long days. Made with lightweight fabrics and built-in sun protection for long days. Outdoor clothing and equipment shop, Aspen, 534 East Cooper Avenue.",Local,2026-08-12
Arc'teryx,"Lightweight gear - Made for trails. Lightweight by design, these technical shells are built for fast vertical gain. Grab the season's best breathable layers and fast-drying fabrics to chase daylight.",Search,2026-08-12
Arc'teryx,"Arc'teryx Fashion Island. Outdoor clothing and equipment shop, Newport Beach. Rating 4.0 from 24 reviews. Shop preloved clothing and gear from your favorite brand to save your wallet and landfill.",Local,2026-08-12
Patagonia,"Patagonia Gear Made to Last - Built for Years, Not Seasons. Guaranteed Quality and Profits Go to the Planet. Shop Patagonia Clothing and Gear. Explore Quality Patagonia Clothing and Gear for Snow, Surfing.",Search,2026-08-12
Patagonia,"Travel Duffel Bags - Patagonia Duffel Bags. Travel Duffel Bags That Swallow All the Gear in Your Van with Room for Half Your Garage. Be It a Fun-Hog outing or an expedition.",Search,2026-08-12
Patagonia,"Up to 40% Off. Need a Break? Select Styles Are Now On Sale. Now's the Time to Get Your Fill. Outdoor clothing and equipment shop, Encinitas, 2185 San Elijo Avenue.",Local,2026-08-12
Tracksmith,"Stay Ready For Race Day - Essentials For Serious Runners. Running Bottoms Designed In Boston To Meet The Rigorous Demands Of Runners Everywhere. Discover Tracksmith Running Bottoms. Crafted For The Pursuit Of Personal Excellence. Rating 5.0 from 22 reviews. Spring 26 Collection.",Search,2026-08-12
Tracksmith,"Tracksmith Running Tights - Running Tops, Shorts and More. Tracksmith Running Gear Is Designed In Boston To Meet The Demands Of Runners Everywhere. Shop Tracksmith For Running Tops, Bottoms And More. View 5 prices from $54.00.",Search,2026-08-12
Tracksmith,"Next-Level Running Apparel - High Performance Running Pants. Running Essentials To Keep You Race Day Ready. Free Shipping On Orders Over $150. Built to Last and Made for Miles, These are the Staples We Run All Year.",Search,2026-08-12
Tracksmith,"Tracksmith - Made For Mileage - Running Tops, Shorts and More. Discover Tracksmith, Running Apparel Crafted For The Pursuit Of Personal Excellence. Shop Men's Running Best Sellers. Women's Collection. Running Footwear. 20% Off Your First Order. Remarkable Running Shoes.",Search,2026-08-12
New Balance,"New Balance Lifestyle - Shop The Lifestyle Collection. New Balance Lifestyle Is Your Go-To Place For Daily Footwear. Shop The Collection Now. Up to 30% Off Select Clothing and Accessories and 25% Off Select Shoes. New Balance 992 Exemplifies Craftsmanship Inside And Out.",Search,2026-08-12
New Balance,"New Balance Back to School - Back to School Shopping. From Backpacks To Apparel New Balance Has All The Styles For The School Year Ahead. Time To Upgrade and Update With New Balance Back To School Styles.",Search,2026-08-12
New Balance,"New Balance 1080v15 - New Balance Running Collection. A Whole New Way Of Looking At The Most Comfortable Running Shoe We Can Make, Period. A New Way To Experience Everything You Rely On In An Everyday Running Shoe. Extended Widths. New Infinion Foam Midsole. Contoured Details. Established In 1906.",Search,2026-08-12
New Balance,"4040 Baseball Cleat - Men's Cleats. The 4040 Baseball Shoe That Delivers Traction To Bring Ultimate Performance. Combined The Function And Comfort Sought By Every Level Of Baseball Player.",Search,2026-08-12
Fabletics,"Stop Overpaying for Activewear - Online Activewear For Men. Sweat in Style: Fabletics Men's Activewear for Every Workout. Versatile Performance Pieces Armed with All the Essentials to Train, Travel or Trailblaze. Anti-Stink.",Search,2026-08-12
Fabletics,"Affordable Green Scrubs - First Scrub Set for $15. Our scrub sets are breathable, lightweight and wrinkle resistant. $15 for new Fabletics VIPs. 50% off Underscrubs. 50% off Jackets and Vests. Exclusive $15 Set for New VIPs. Built-In Bra Scrub Top.",Search,2026-08-12
Fabletics,"Swimsuits for $19 as a New VIP - Swim Tops for Big Busts. Active swim styles designed for support, stretch, and confidence. Get 80% Off everything when you sign up as a VIP.",Search,2026-08-12
